,full_path,filename,project_species,code,new_filename
0,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel2_ZF/images/22195-3__22195-3-G__2021-03-25__08-04-53(1).JPG,22195-3__22195-3-G__2021-03-25__08-04-53(1).JPG,COA_2021/DouglasSquirrel2_ZF,aa,22195-3__22195-3-G__2021-03-25__08-04-53(1)_aa.JPG
1,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel2_ZF/images/22103-4__22103-4-G__2021-05-28__14-47-50(1).JPG,22103-4__22103-4-G__2021-05-28__14-47-50(1).JPG,COA_2021/DouglasSquirrel2_ZF,aa,22103-4__22103-4-G__2021-05-28__14-47-50(1)_aa.JPG
2,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel2_ZF/images/22108-1__22108-1-G__2020-03-29__16-24-23(4).JPG,22108-1__22108-1-G__2020-03-29__16-24-23(4).JPG,COA_2021/DouglasSquirrel2_ZF,aa,22108-1__22108-1-G__2020-03-29__16-24-23(4)_aa.JPG
3,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel2_ZF/images/22108-1__22108-1-G__2020-03-24__07-26-14(1).JPG,22108-1__22108-1-G__2020-03-24__07-26-14(1).JPG,COA_2021/DouglasSquirrel2_ZF,aa,22108-1__22108-1-G__2020-03-24__07-26-14(1)_aa.JPG
4,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel2_ZF/images/22105-3__22105-3-T__2021-05-15__17-56-35(5).JPG,22105-3__22105-3-T__2021-05-15__17-56-35(5).JPG,COA_2021/DouglasSquirrel2_ZF,aa,22105-3__22105-3-T__2021-05-15__17-56-35(5)_aa.JPG
5,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel2_ZF/images/22103-4__22103-4-G__2021-04-19__10-15-14(2).JPG,22103-4__22103-4-G__2021-04-19__10-15-14(2).JPG,COA_2021/DouglasSquirrel2_ZF,aa,22103-4__22103-4-G__2021-04-19__10-15-14(2)_aa.JPG
6,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel2_ZF/images/22108-1__22108-1-G__2020-03-27__14-17-26(4).JPG,22108-1__22108-1-G__2020-03-27__14-17-26(4).JPG,COA_2021/DouglasSquirrel2_ZF,aa,22108-1__22108-1-G__2020-03-27__14-17-26(4)_aa.JPG
7,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel2_ZF/images/22105-1__22105-1-T__2021-05-02__12-47-15(3).JPG,22105-1__22105-1-T__2021-05-02__12-47-15(3).JPG,COA_2021/DouglasSquirrel2_ZF,aa,22105-1__22105-1-T__2021-05-02__12-47-15(3)_aa.JPG
8,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel2_ZF/images/22105-4__22105-4-T__2021-05-18__11-37-04(1).JPG,22105-4__22105-4-T__2021-05-18__11-37-04(1).JPG,COA_2021/DouglasSquirrel2_ZF,aa,22105-4__22105-4-T__2021-05-18__11-37-04(1)_aa.JPG
9,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel2_ZF/images/22105-4__22105-4-T__2021-05-21__08-07-28(1).JPG,22105-4__22105-4-T__2021-05-21__08-07-28(1).JPG,COA_2021/DouglasSquirrel2_ZF,aa,22105-4__22105-4-T__2021-05-21__08-07-28(1)_aa.JPG
10,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel2_ZF/images/22103-4__22103-4-G__2021-05-21__10-39-53(2).JPG,22103-4__22103-4-G__2021-05-21__10-39-53(2).JPG,COA_2021/DouglasSquirrel2_ZF,aa,22103-4__22103-4-G__2021-05-21__10-39-53(2)_aa.JPG
11,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel2_ZF/images/22105-3__22105-3-G__2021-05-16__11-20-18(2).JPG,22105-3__22105-3-G__2021-05-16__11-20-18(2).JPG,COA_2021/DouglasSquirrel2_ZF,aa,22105-3__22105-3-G__2021-05-16__11-20-18(2)_aa.JPG
12,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel2_ZF/images/22105-3__22105-3-T__2021-05-22__08-54-49(3).JPG,22105-3__22105-3-T__2021-05-22__08-54-49(3).JPG,COA_2021/DouglasSquirrel2_ZF,aa,22105-3__22105-3-T__2021-05-22__08-54-49(3)_aa.JPG
13,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel2_ZF/images/22108-1__22108-1-G__2020-03-24__07-26-36(6).JPG,22108-1__22108-1-G__2020-03-24__07-26-36(6).JPG,COA_2021/DouglasSquirrel2_ZF,aa,22108-1__22108-1-G__2020-03-24__07-26-36(6)_aa.JPG
14,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel2_ZF/images/21892-1__21892-1-T__2021-04-28__09-31-21(2).JPG,21892-1__21892-1-T__2021-04-28__09-31-21(2).JPG,COA_2021/DouglasSquirrel2_ZF,aa,21892-1__21892-1-T__2021-04-28__09-31-21(2)_aa.JPG
15,/mnt/ssd-cluster/cara/data/COA_2021/DouglasSquirrel2_ZF/images/22103-4__22103-4-T__2021-05-29__08-04-52(1).JPG,22103-4__22103-4-T__2021-05-29__08-04-52(1).JPG,COA_2021/DouglasSquirrel2_ZF,aa,22103-4__22103-4-T__2021-05-29__08-04-52(1)_aa.JPG
16,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/21414-3__21414-3-T__2021-04-06__07-57-05(1).JPG,21414-3__21414-3-T__2021-04-06__07-57-05(1).JPG,COA_2021/VariedThrush1_ZF,ab,21414-3__21414-3-T__2021-04-06__07-57-05(1)_ab.JPG
17,/mnt/ssd-cluster/cara/data/COA_2021/VariedThrush1_ZF/images/20469-3__20469-3-T__2021-04-01__07-46-14(3).JPG,20469-3__20469-3-T__2021-04-01__07-46-14(3).JPG,COA_2021/VariedThrush1_ZF,ab,20469-3__20469-3-T__2021-04-01__07-46-14(3)_ab.JPG
